Month,Day,Year,Bank,EIC,SSea,Consols,Market_debt,Event,Shock,Gold Standard,Partly Expected War,Note,Neal Consol Series
4,30,1709,119.25,117.25,,,,,0,1,0,,1
5,31,1709,134,129,,,,,0,1,0,,1
6,30,1709,128.5,126.5,,,,,0,1,0,,1
7,30,1709,128,131.25,,,,,0,1,0,,1
8,31,1709,128.75,131.25,,,,,0,1,0,,1
9,30,1709,128.5,133.5,,,,,0,1,0,,1
10,31,1709,119.5,130.75,,,,,0,1,0,,1
11,30,1709,118.25,131.25,,,,,0,1,0,,1
12,31,1709,112,127,,,,,0,1,0,,1
1,31,1710,118,131,,,,,0,1,0,,1
2,28,1710,127,140,,,,,0,1,0,,1
3,31,1710,122.25,136.25,,,,,0,1,0,,1
4,29,1710,122.25,135,,,,,0,1,0,,1
5,31,1710,124,137.25,,,,,0,1,0,,1
6,30,1710,118.75,136.25,,,,,0,1,0,,1
7,31,1710,113.75,126.5,,,,,0,1,0,,1
8,31,1710,111.75,124.25,,,,,0,1,0,,1
9,30,1710,109.25,124.25,,,,,0,1,0,,1
10,31,1710,98.25,113.5,,,,,0,1,0,,1
11,30,1710,105.75,124,,,,,0,1,0,,1
12,30,1710,101,118,,,,,0,1,0,,1
1,31,1711,103,121.25,,,,,0,1,0,,1
2,28,1711,103.75,120.75,,,,,0,1,0,,1
3,31,1711,102.75,121.75,,,,,0,1,0,,1
4,30,1711,101.5,118.5,,,,,0,1,0,,1
5,31,1711,104.25,117.25,,,,,0,1,0,,1
6,30,1711,105,125.25,,,,,0,1,0,,1
7,31,1711,103.75,116.75,,,,,0,1,0,,1
8,31,1711,101.5,109.25,,,,,0,1,0,,1
9,29,1711,110.5,121,72,,,,0,1,0,,1
10,31,1711,108.75,124,75.5,,,,0,1,0,,1
11,30,1711,111.25,128.25,78.25,,,,0,1,0,,1
12,31,1711,108.5,123,75,,,,0,1,0,,1
1,31,1712,110.5,120.5,75,,,,0,1,0,,1
2,29,1712,112.75,118.75,74,,,,0,1,0,,1
3,31,1712,108,114.5,72,,,,0,1,0,,1
4,30,1712,111.5,117,74.5,,,,0,1,0,,1
5,31,1712,117,118,80,,,,0,1,0,,1
6,30,1712,112.7,110.75,78.75,,,,0,1,0,,1
7,31,1712,113,108.25,78.25,,,,0,1,0,,1
8,30,1712,116,114,77.25,,,,0,1,0,,1
9,30,1712,113.75,114.5,76.5,,,,0,1,0,,1
10,31,1712,115,116,78.5,,,,0,1,0,,1
11,29,1712,115.75,119,79.25,,,,0,1,0,,1
12,31,1712,123.25,126.5,86.25,,,,0,1,0,,1
1,31,1713,121.75,123,84,,,,0,1,0,,1
2,28,1713,122.5,120.75,83.25,,,,0,1,0,,1
3,31,1713,124.75,124.25,86.75,,,,0,1,0,,1
4,30,1713,122.5,122.5,91,,,,0,1,0,,1
5,30,1713,123.75,123.5,92.25,,,,0,1,0,,1
6,30,1713,126.5,124,95,,,,0,1,0,,1
7,31,1713,127.5,123.25,93.5,,,,0,1,0,,1
8,31,1713,130,127,93.75,,,,0,1,0,,1
9,30,1713,124.75,124,92.625,,,,0,1,0,,1
10,31,1713,123,123,92,,,,0,1,0,,1
11,30,1713,124.625,126,93.875,,,,0,1,0,,1
12,31,1713,124.75,123.25,91,,,,0,1,0,,1
1,30,1714,121.25,119,86.25,,,,0,1,0,,1
2,27,1714,121,117.75,85.5,,,,0,1,0,,1
3,31,1714,117.75,118,84.25,,,,0,1,0,,1
4,30,1714,121,123,87.25,,,,0,1,0,,1
5,31,1714,120.75,123.5,87.75,,,,0,1,0,,1
6,30,1714,123.75,123.5,86,,,,0,1,0,,1
7,31,1714,122.5,124,85.25,,,,0,1,0,,1
8,31,1714,132.75,134.75,97,,,,0,1,0,,1
9,30,1714,129.75,135.5,95.875,,,,0,1,0,,1
10,30,1714,127.25,136,95.625,,,,0,1,0,,1
11,30,1714,128,138,97,,,,0,1,0,,1
